Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2023-09-20,14627.1,=4261744798228.4199,=4225336447870,=1907089268555.7900,30.7108,=0.3365,=39.4162,=32.8025,=28.6663
2023-09-21,14320.25,=4188632952779.4102,=4152982148830,=1874528989194.7605,30.0721,=0.2932,=39.4162,=32.7993,=28.6663
2023-09-22,14617.47,=4288143477248.7500,=4251780178052,=1919506312098.0801,30.6101,=0.3277,=39.4162,=32.7961,=28.6663
2023-09-25,14484.2,=4250992703390.6802,=4215092993267,=1902679975211.2000,30.2982,=0.3067,=39.4081,=32.7869,=28.6674
2023-09-26,14329.16,=4208075985423.3301,=4172506182033,=1883180093005.3401,29.9257,=0.2824,=39.4081,=32.7778,=28.6674
2023-09-27,14316.74,=4204545981889.3198,=4168473806922,=1881420164541.4905,29.9463,=0.2842,=39.4081,=32.7726,=28.6674
2023-09-28,14151.05,=4164165642408.4102,=4128634488881,=1863294965652.6299,29.6042,=0.2576,=39.4081,=32.7674,=28.6674
2023-10-09,14100.77,=4129917073240.7998,=4094358882265,=1846991948255.3596,29.4261,=0.2475,=39.4081,=32.7654,=28.6674
2023-10-10,13976.39,=4103353133237.3398,=4068179789130,=1835341106685.8999,29.2233,=0.2342,=39.3964,=32.7633,=28.6677
2023-10-11,13951.64,=4110343212675.5200,=4075145566735,=1838545411256.4600,29.1637,=0.2327,=39.3964,=32.7615,=28.6677
2023-10-12,13958.78,=4122551214684.3999,=4087382041899,=1845288550298.2896,29.2511,=0.2387,=39.3964,=32.7597,=28.6677
2023-10-13,13666.21,=4041737050966.7798,=4006999132809,=1808940515130.5000,28.5985,=0.1933,=39.3964,=32.7589,=28.6674
2023-10-16,13444.08,=3983250847793.2500,=3948964672890,=1782511408426.3096,28.0858,=0.1649,=39.3964,=32.7580,=28.6663
2023-10-17,13451.7,=3981581748039.8501,=3947291668734,=1781010021365.7598,27.9563,=0.1616,=39.3958,=32.7575,=28.6663
2023-10-18,13416.4,=3978225368313.0811,=3944126594367,=1778710032250.3899,27.7123,=0.1530,=39.3958,=32.7569,=28.6556
2023-10-19,12966.0,=3801256896377.3809,=3767876491235,=1698630185949.8296,26.9057,=0.1285,=39.3958,=32.7511,=28.6539
2023-10-20,12921.45,=3810565340239.9399,=3777429535884,=1703168290497.2903,26.7327,=0.1223,=39.3958,=32.7452,=28.6506
2023-10-23,12930.09,=3811244661626.3301,=3778259686779,=1703092875499.7998,26.649,=0.1175,=39.3958,=32.7441,=28.6467
2023-10-24,13021.01,=3823965461116.1899,=3790351514162,=1707570587830.6299,26.777,=0.1231,=39.3883,=32.7430,=28.6467
2023-10-25,13420.13,=3925903488168.2798,=3891703595919,=1752966158211.8799,27.5774,=0.1498,=39.3883,=32.7408,=28.6369
2023-10-26,13509.93,=3936578146470.6099,=3901929547580,=1756731304975.7000,27.7743,=0.1563,=39.3883,=32.7386,=28.6315
2023-10-27,13663.47,=3964861822772.5811,=3929626999247,=1770570575758.4802,28.0123,=0.1661,=39.3883,=32.7385,=28.6295
2023-10-30,13859.88,=4003838142932.1108,=3967883612461,=1787151021541.6799,28.2897,=0.1811,=39.3883,=32.7385,=28.6292
2023-10-31,13907.78,=4013907108347.0801,=3977565508996,=1791318380678.5901,27.9581,=0.1646,=39.3715,=32.7290,=28.6292
2023-11-01,14200.41,=4167454415565.2202,=4130894966323,=1861562430332.8799,28.2513,=0.1813,=39.3715,=32.7195,=28.6263
2023-11-02,13985.6,=4133820711228.2202,=4097960025037,=1846722750033.5400,27.6829,=0.1532,=39.3715,=32.7112,=28.6070
2023-11-03,14142.61,=4191701528802.7300,=4155966280000,=1873551545632.2996,27.9393,=0.1639,=39.3715,=32.7029,=28.6030
2023-11-06,14145.15,=4192490482256.1895,=4157073037414,=1873884536651.8601,27.9125,=0.1624,=39.3715,=32.6978,=28.5999
2023-11-07,14045.05,=4154961362867.6411,=4119827332914,=1857361703240.1101,27.7031,=0.1543,=39.3641,=32.6928,=28.5999
2023-11-08,14008.36,=4156313514550.9102,=4121415146389,=1857857776863.6296,27.6642,=0.1515,=39.3641,=32.6927,=28.5985
2023-11-09,13988.58,=4149649529271.1494,=4114714991919,=1854343197476.5801,27.6379,=0.1514,=39.3641,=32.6927,=28.5898
2023-11-10,13798.7,=4100721450826.9502,=4065951575798,=1832696197923.6304,27.2399,=0.1373,=39.3641,=32.6798,=28.5866
