日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-06-03,=2002.7000,=2209.5200,=5678084067808.2588,=4450870640196,=3117126771414.4956,=30.7969,=0.2538,=50.8489,=36.7789,=29.9587
2025-05-30,=1993.1900,=2199.0300,=5643682924634.8398,=4425530896995,=3101855177241.1147,=30.6004,=0.2375,=51.0091,=36.7874,=29.9606
2025-05-29,=2012.5500,=2219.5700,=5704385392724.5010,=4471183739027,=3132623336376.2290,=30.8071,=0.2537,=51.0091,=36.7891,=29.9606
2025-05-28,=1985.3800,=2188.6500,=5628737819760.6787,=4412334520385,=3090053431961.8979,=30.2978,=0.2228,=51.0264,=36.7918,=29.9606
2025-05-27,=1991.6400,=2194.6400,=5648973760736.2578,=4423681833923,=3099691540108.6987,=30.4459,=0.2290,=51.0301,=36.7955,=29.9606
2025-05-26,=2005.2600,=2209.4100,=5679763883139.9199,=4450370035106,=3120610410686.4004,=30.5524,=0.2335,=51.1915,=36.8195,=29.9606
2025-05-23,=2021.5000,=2226.0200,=5732971191571.4805,=4493511818843,=3145040403627.8218,=30.6416,=0.2400,=51.2266,=36.8449,=29.9606
2025-05-22,=2045.5700,=2251.9000,=5792871996112.8535,=4539342338140,=3181796852873.4048,=30.9346,=0.2582,=51.2266,=36.8515,=29.9606
2025-05-21,=2065.3900,=2273.5400,=5848673587392.0391,=4580382823316,=3212682338431.0024,=31.3268,=0.2805,=51.2803,=36.8562,=29.9606
2025-05-20,=2048.4600,=2254.6100,=5800562112341.0889,=4539374361966,=3187520692697.5942,=31.3304,=0.2805,=51.2957,=36.8671,=29.9606
2025-05-19,=2032.7600,=2237.2700,=5726177236420.9912,=4499841550753,=3163674503278.0972,=31.0427,=0.2648,=51.3359,=36.8678,=29.9606
2025-05-16,=2039.4500,=2244.1900,=5738127714000.6680,=4512383666032,=3174085717668.9980,=31.1656,=0.2705,=51.4320,=36.8748,=29.9606
