日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2009-11-18,=3533.4810,,=2466224758879.3999,=1540691674806,=886820686137.6302,=32.9229,=1,=27.1968,=18.4040,=11.5985
2009-11-17,=3525.3330,,=2460669040149.0005,=1538624269171,=885261343737.7493,=32.8058,=1,=27.1968,=18.3889,=11.5600
2009-11-16,=3524.5100,,=2463230060447.8003,=1539456194019,=885133813032.6803,=32.7172,=1,=27.1290,=18.3854,=11.5600
2009-11-13,=3407.4200,,=2381233613400.1997,=1490456382299,=856091017586.2300,=31.9119,=1,=27.0717,=18.3820,=11.5600
2009-11-12,=3397.5600,,=2374910121786.4004,=1479858563778,=853411000572.4696,=31.6478,=1,=27.0629,=18.3804,=11.5600
2009-11-11,=3381.1770,,=2364799786837.7998,=1474222353117,=849388161497.8397,=31.4793,=0.9944,=26.8898,=18.3788,=11.5600
2009-11-10,=3393.0230,,=2372399576461.7998,=1476674712934,=852375813457.7498,=31.4930,=0.9972,=26.8898,=18.3578,=11.5214
2009-11-09,=3397.1430,,=2374303733531.4004,=1478638950843,=853459313780.0100,=31.5531,=1,=26.8105,=18.3368,=11.5214
2009-11-06,=3362.8980,,=2350158671577.7998,=1464937441270,=844802232308.2599,=31.3373,=1,=26.6251,=18.2938,=11.5214
2009-11-05,=3336.0920,,=2329649645923.4995,=1449025036494,=838025408530.4904,=31.2585,=1,=26.5184,=18.2508,=11.5214
2009-11-04,=3307.9820,,=2306572693461.5005,=1434588199469,=830812484966.4000,=30.9188,=0.9972,=26.5152,=18.2176,=11.5214
2009-11-03,=3282.4950,,=2288838204618.4004,=1422192106867,=824488827304.2699,=30.7690,=0.9943,=26.5152,=18.1844,=11.5007
2009-11-02,=3227.9500,,=2253986388804.2002,=1400163308049,=810795349515.5901,=30.2362,=0.9829,=26.4548,=18.1001,=11.5007
2009-10-30,=3131.5690,,=2186744757127.3000,=1359655075346,=786278709987.0200,=30.2104,=0.9829,=26.4125,=18.0158,=11.5007
2009-10-29,=3102.9500,,=2167087793559.2004,=1346491053072,=778038209734.5000,=29.8636,=0.9713,=26.3960,=17.9860,=11.5007
2009-10-28,=3182.4310,,=2216202222601.1001,=1375042236304,=887043422395.7504,=31.0818,=1,=26.3477,=17.9561,=11.5007
2009-10-27,=3151.2740,,=2196039649674.0996,=1365582332697,=879198352348.6099,=29.8291,=0.9741,=26.3477,=17.9415,=11.4853
2009-10-26,=3256.7890,,=2267806188967.4995,=1406823367693,=917984736989.2400,=30.7219,=0.9971,=26.2241,=17.9268,=11.4853
2009-10-23,=3238.4800,,=2251676930652.6997,=1399409973356,=911042314718.9600,=30.4829,=0.9942,=26.1833,=17.8754,=11.4853
2009-10-22,=3173.6270,,=2208127897168.2002,=1372924793604,=893369673695.1201,=29.4928,=0.9651,=26.1483,=17.8239,=11.4853
2009-10-21,=3195.6840,,=2226199494104.9995,=1382954871506,=899421467135.0598,=29.4741,=0.9650,=26.1245,=17.7950,=11.4853
2009-10-20,=3210.0650,,=2237263869881.9004,=1390539305106,=903256611497.0200,=29.6319,=0.9737,=26.1245,=17.7660,=11.4830
2009-10-19,=3178.5390,,=2217325060507.9004,=1376305899033,=892766959623.2202,=29.5032,=0.9707,=26.0207,=17.7521,=11.4830
2009-10-16,=3084.1170,,=2153047383963.8000,=1329126428327,=867861711530.6902,=28.8647,=0.9382,=25.9027,=17.7382,=11.4830
2009-10-15,=3078.3490,,=2149513210716.6011,=1325511268486,=864634147064.4698,=28.8878,=0.9410,=25.6454,=17.6811,=11.4830
2009-10-14,=3054.7930,,=2132108391544.8000,=1316552773272,=859124814649.3700,=28.7310,=0.9379,=25.6337,=17.6240,=11.4830
2009-10-13,=3027.4510,,=2115409918767.1997,=1304573494594,=850052143170.3301,=28.4467,=0.9228,=25.6337,=17.5721,=11.4591
2009-10-12,=2973.6920,,=2072515228510.8999,=1280128141798,=835662923029.6898,=28.0467,=0.8929,=25.5869,=17.5203,=11.4591
2009-10-09,=2987.2050,,=2084439485068,=1285687339092,=840351518611.0801,=28.1038,=0.8985,=25.4611,=17.4849,=11.4591
2009-09-30,=2826.9880,,=1975244466697.7996,=1220533846658,=797030326108.2599,=26.8105,=0.8533,=25.3816,=17.4496,=11.4591
2009-09-29,=2788.8010,,=1948268370172.1003,=1206924446815,=785555091562.5900,=26.5184,=0.8498,=25.3345,=17.4176,=11.4591
2009-09-28,=2807.8090,,=1959581419522.6001,=1212114432756,=786881826142.6504,=26.8898,=0.8554,=25.3345,=17.3856,=11.4290
2009-09-25,=2894.1410,,=2019941325538.0996,=1250037367585,=812348411006.7303,=27.5830,=0.8761,=25.2870,=17.3667,=11.4290
2009-09-24,=2930.8780,,=2044400598292.6003,=1264814937715,=823375429043.5203,=27.7212,=0.8818,=25.2714,=17.3479,=11.4290
2009-09-23,=2949.8470,,=2058606084812.1997,=1272351962521,=828405883928.2205,=27.9493,=0.8936,=25.1012,=17.2919,=11.4290
