日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-09-27,=858.4300,=1050.4800,=3713913155102.9512,=2705475996970,=1702065166821.6875,=22.6531,=0.1675,=35.9645,=29.7508,=22.9792
2021-09-24,=882.1400,=1079.4900,=3812553895535.2202,=2777611005552,=1749728853881.9631,=23.2048,=0.2256,=35.9645,=29.7635,=22.9844
2021-09-23,=894.7000,=1094.8600,=3868406518676.9199,=2821497098150,=1775050393382.7661,=23.6380,=0.2543,=35.9645,=29.7762,=22.9844
2021-09-22,=884.5500,=1082.4400,=3828722463180.8101,=2790318619995,=1755411270491.5662,=23.3500,=0.2369,=35.9745,=29.7811,=22.9792
2021-09-17,=890.5900,=1089.8300,=3847504435504.4399,=2805430731465,=1767106352349.7878,=23.4954,=0.2450,=35.9745,=29.7860,=22.9792
2021-09-16,=878.6700,=1075.2400,=3793900635999.9702,=2768407918542,=1743618567792.7825,=23.2050,=0.2261,=35.9745,=29.7863,=22.9792
2021-09-15,=899.8300,=1101.1400,=3876265835147.8589,=2830222371123,=1784662588598.5974,=23.6798,=0.2553,=35.9745,=29.7867,=22.9792
2021-09-14,=901.4500,=1103.1200,=3887491861844.1108,=2834978810681,=1788151279617.0996,=23.6152,=0.2524,=35.9745,=29.7893,=22.9792
2021-09-13,=929.6300,=1137.6000,=4012683060080.6392,=2926085411232,=1844581365128.9729,=24.3869,=0.2726,=35.9772,=29.7918,=22.9789
2021-09-10,=926.5700,=1133.8500,=3997153492314.7202,=2919338189398,=1838432109378.6089,=24.4157,=0.2737,=35.9772,=29.7921,=22.9789
2021-09-09,=915.8500,=1120.7400,=3951612586755.9092,=2885083781505,=1817200449823.6731,=24.1519,=0.2673,=35.9772,=29.7924,=22.9789
2021-09-08,=923.6900,=1130.3400,=3978933873227.8296,=2899277855105,=1831111081465.6624,=24.2746,=0.2695,=35.9772,=29.7929,=22.9789
2021-09-07,=922.6300,=1129.0300,=3993362568866.1099,=2905598004517,=1830010533462.6924,=24.3891,=0.2721,=35.9772,=29.7934,=22.9789
2021-09-06,=900.3800,=1101.8100,=3907055517700.5498,=2839748781164,=1786000502858.2852,=23.9645,=0.2652,=36.0304,=29.8037,=22.9632
2021-09-03,=875.1300,=1070.9100,=3795539073267.3989,=2759534740595,=1733744009031.0154,=23.3751,=0.2387,=36.0304,=29.8141,=22.9632
2021-09-02,=883.7300,=1081.4300,=3818097238233.4902,=2781340094786,=1748317800971.1038,=23.4513,=0.2433,=36.0304,=29.8181,=22.9632
2021-09-01,=868.9000,=1063.2900,=3755626133786.6592,=2732297339485,=1719466273724.1499,=23.0583,=0.2112,=36.0304,=29.8221,=22.9632
2021-08-31,=838.1300,=1025.6400,=3611069819730.5200,=2631552651934,=1658060124039.8604,=22.2319,=0.1377,=36.0304,=29.8271,=22.9632
2021-08-30,=820.0200,=1003.4700,=3525729591978.3506,=2572102685067,=1621693263333.2000,=21.8430,=0.1307,=36.0445,=29.8320,=22.9632
2021-08-27,=833.0800,=1019.4500,=3577037127449.9502,=2614610986939,=1622735660236.9675,=22.3023,=0.1408,=36.0445,=29.8327,=22.9789
2021-08-26,=836.3200,=1023.3900,=3603240135136.7598,=2630652652263,=1620126098726.2468,=22.8340,=0.1864,=36.0445,=29.8333,=22.9792
2021-08-25,=848.3000,=1038.0500,=3649211326301.8901,=2666341572578,=1643496275159.2473,=23.1940,=0.2244,=36.0445,=29.8360,=22.9844
2021-08-24,=862.5300,=1054.8900,=3691624609051.4297,=2692903551480,=1670995254268.1362,=23.2875,=0.2295,=36.0445,=29.8388,=22.9844
2021-08-23,=843.2000,=1031.1300,=3618872025775.8198,=2636057101183,=1633200428381.2822,=23.1365,=0.2205,=36.0708,=29.8397,=22.9792
2021-08-20,=841.2000,=1028.6900,=3612753080399.7798,=2630571903691,=1629314080845.3364,=23.2111,=0.2247,=36.0708,=29.8406,=22.9792
2021-08-19,=843.7300,=1028.1900,=3625163119921.7612,=2636739392645,=1634787979698.5681,=23.2383,=0.2253,=36.0708,=29.8425,=22.9792
2021-08-18,=859.0800,=1046.6200,=3705916464579.5811,=2684088599750,=1664338834783.5149,=23.6083,=0.2477,=36.0708,=29.8444,=22.9792
2021-08-17,=804.4400,=980.0700,=3461819364828.9307,=2513154228160,=1557901986695.4932,=22.1568,=0.1374,=36.0708,=29.8445,=22.9792
2021-08-16,=810.3100,=987.2100,=3480009857064.7998,=2525047251676,=1569005106229.9055,=22.2368,=0.1374,=36.0875,=29.8446,=22.9792
2021-08-13,=803.8600,=979.3600,=3455359592999.6899,=2504181960185,=1555846863120.7583,=22.5223,=0.1532,=36.0875,=29.8467,=22.9844
2021-08-12,=803.7800,=979.2300,=3457810664732.8496,=2505747279343,=1555736063565.5515,=22.5925,=0.1614,=36.0875,=29.8489,=22.9857
2021-08-11,=809.0500,=985.6500,=3480578203758.4189,=2519687340500,=1566011810764.9648,=22.6479,=0.1651,=36.0875,=29.8509,=22.9932
2021-08-10,=816.0900,=994.2300,=3507927358840.2710,=2538282704782,=1579703205026.0820,=22.7562,=0.1778,=36.0875,=29.8530,=22.9990
2021-08-09,=803.7100,=979.1500,=3446548747982.6602,=2497891267803,=1555950693412.8528,=22.4080,=0.1469,=36.0889,=29.8552,=22.9990
2021-08-06,=786.4600,=958.1300,=3370226709959.4097,=2441835663587,=1522494198327.4519,=21.9277,=0.1328,=36.0889,=29.8575,=23.0026
2021-08-05,=785.0100,=955.0500,=3364679748604.2090,=2439201673677,=1520178760851.8181,=21.9298,=0.1328,=36.0889,=29.8580,=23.0100
2021-08-04,=799.0400,=972.1100,=3428927406090.8188,=2474444767035,=1547504943320.9890,=22.2475,=0.1385,=36.0889,=29.8585,=23.0161
2021-08-03,=798.7800,=971.8000,=3435941894150.1494,=2477326390203,=1545594499915.7151,=22.3383,=0.1411,=36.0889,=29.8596,=23.0210
2021-08-02,=795.0200,=967.2300,=3422975727258.6001,=2467670883633,=1538319656460.3203,=22.2424,=0.1376,=36.0936,=29.8608,=23.0210
2021-07-30,=765.9100,=931.7900,=3300230930694.0098,=2381512516083,=1481871329170.9189,=21.5489,=0.1280,=36.0936,=29.8637,=23.0239
2021-07-29,=783.6300,=952.3600,=3381382619525.2808,=2436431788620,=1515962387198.2983,=22.0144,=0.1327,=36.0936,=29.8666,=23.0243
2021-07-28,=774.0100,=939.2200,=3343348120072.6304,=2410199732592,=1496703836987.7271,=21.8986,=0.1322,=36.0936,=29.8670,=23.0287
2021-07-27,=781.3300,=947.8900,=3383288775883.3706,=2433724276590,=1511307393992.2219,=22.1342,=0.1353,=36.0936,=29.8674,=23.0342
2021-07-26,=807.5800,=979.7400,=3497981549300.4497,=2510885589189,=1562393639855.4431,=22.7494,=0.1717,=36.0993,=29.8707,=23.0342
2021-07-23,=831.5400,=1008.8000,=3617299807293.6499,=2583224649003,=1610144011766.7061,=23.3359,=0.2255,=36.0993,=29.8741,=23.0343
2021-07-22,=827.3700,=1002.9100,=3582763684491.8599,=2564167952816,=1602604296231.1138,=23.0586,=0.2036,=36.0993,=29.8745,=23.0343
2021-07-21,=813.3400,=985.9000,=3512086311782.0703,=2521747277866,=1575102412134.6553,=22.6830,=0.1658,=36.0993,=29.8749,=23.0343
2021-07-20,=801.8800,=972.0100,=3462459539828.7012,=2490556531607,=1552571337671.0149,=22.5138,=0.1490,=36.0993,=29.8770,=23.0381
2021-07-19,=804.5300,=974.8700,=3474655907110.4414,=2498069651895,=1557696536657.5156,=22.5713,=0.1547,=36.1448,=29.8791,=23.0381
2021-07-16,=807.6100,=978.6000,=3503162667501.0098,=2506848901319,=1563428392628.3062,=22.7433,=0.1702,=36.1448,=29.8792,=23.0389
2021-07-15,=807.8600,=978.8600,=3497659394173.1597,=2506343804705,=1563946113630.5828,=22.6937,=0.1651,=36.1448,=29.8794,=23.0470
2021-07-14,=796.9200,=965.4000,=3460641025781.6797,=2477155815054,=1543027819420.7500,=22.5238,=0.1498,=36.1448,=29.8823,=23.0556
2021-07-13,=805.5000,=975.5900,=3499365242491.8208,=2502501812474,=1559592379264.5979,=22.6979,=0.1648,=36.1448,=29.8853,=23.0560
2021-07-12,=810.3300,=981.4500,=3518414041289.2300,=2515520273978,=1569228389635.6360,=22.7660,=0.1705,=36.1764,=29.8870,=23.0560
2021-07-09,=792.9700,=960.4300,=3455969526740.3989,=2467381915857,=1535490806750.8916,=22.4037,=0.1434,=36.1764,=29.8887,=23.0581
2021-07-08,=790.3500,=957.0600,=3443158021714.5908,=2460523878719,=1530449884914.8108,=22.3350,=0.1393,=36.1764,=29.8892,=23.0748
2021-07-07,=792.1700,=958.6400,=3456234688649.4507,=2470071157961,=1533918303649.5835,=22.5236,=0.1487,=36.1764,=29.8897,=23.0763
2021-07-06,=790.6100,=955.9500,=3444862203753.7500,=2467299545788,=1530749698908.1765,=22.5337,=0.1493,=36.1764,=29.8906,=23.0766
2021-07-05,=785.7600,=949.9500,=3424796387870.5996,=2452451865715,=1521568631300.6606,=22.4283,=0.1432,=36.1782,=29.8915,=23.0766
2021-07-02,=785.7900,=949.9800,=3425244482565.4204,=2453632242925,=1521719147214.9917,=22.4467,=0.1448,=36.1782,=29.8951,=23.0785
2021-07-01,=808.8600,=977.8700,=3530531922427.6494,=2522626065889,=1566481141994.8855,=22.9496,=0.1851,=36.1782,=29.8987,=23.0811
2021-06-30,=831.2500,=1004.9400,=3641904696900.6792,=2592958836068,=1610030992288.9990,=23.5565,=0.2321,=36.1782,=29.9033,=23.0875
