日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2019-07-11,=1176.9200,=1261.1800,=2759705440487.1997,=2187216737697,=1128774056774.7852,=20.6122,=0.0794,=36.1625,=32.4529,=26.7303
2019-07-10,=1180.3700,=1264.4200,=2765319441302.2998,=2190485135282,=1132052240642.1064,=20.6532,=0.0801,=36.1625,=32.4560,=26.7523
2019-07-09,=1191.8800,=1275.6600,=2770502725022.0005,=2193383148116,=1135611545306.7349,=20.8319,=0.0874,=36.1722,=32.4645,=26.7523
2019-07-08,=1188.8000,=1272.3700,=2762336885313.6997,=2190447743783,=1134101198718.1128,=20.7531,=0.0832,=36.1722,=32.4730,=26.7707
2019-07-05,=1230.7500,=1317.2300,=2842686700561.1001,=2251991219923,=1168234756015.0029,=21.4624,=0.1131,=36.1722,=32.4764,=26.7716
2019-07-04,=1232.6400,=1318.5400,=2843086394565.5000,=2250260790416,=1167657363435.7007,=21.4665,=0.1131,=36.1722,=32.4798,=26.7783
2019-07-03,=1236.3400,=1322.0100,=2850212336467.1011,=2256147797793,=1171659654027.4348,=21.5119,=0.1163,=36.1722,=32.4828,=26.7829
2019-07-02,=1238.4500,=1324.2200,=2842649023371.5005,=2247606364618,=1169676508378.9839,=21.5636,=0.1163,=36.1757,=32.4857,=26.7829
2019-07-01,=1238.7000,=1324.4800,=2834821913266.8999,=2244092272042,=1168263348989.5840,=21.5646,=0.1164,=36.1757,=32.4882,=26.7876
2019-06-28,=1204.3000,=1287.3800,=2773644459688.0996,=2198919953154,=1154083241462.5205,=21.0439,=0.0933,=36.1757,=32.4906,=26.7963
2019-06-27,=1215.7400,=1299.5300,=2794829644299.8003,=2213520925663,=1163176207519.5039,=21.2149,=0.1031,=36.1757,=32.4907,=26.8395
2019-06-26,=1209.7300,=1292.6900,=2781335101337.3999,=2202886547999,=1156873664132.0105,=21.1155,=0.0958,=36.1757,=32.4908,=26.8712
2019-06-25,=1213.9400,=1295.9700,=2775568327461.8999,=2196843090094,=1154994681767.5432,=21.1953,=0.1014,=36.2545,=32.4956,=26.8712
2019-06-24,=1226.0500,=1308.7600,=2800352535849.9995,=2213668958237,=1166988237835.8315,=21.4333,=0.1088,=36.2545,=32.5003,=26.8746
2019-06-21,=1228.9200,=1311.5900,=2801694819355.5996,=2214692666896,=1167842922957.0298,=21.4674,=0.1107,=36.2545,=32.5073,=26.9036
2019-06-20,=1207.2200,=1288.3600,=2778884158296.6997,=2199758152744,=1157114024421.0869,=21.1529,=0.0991,=36.2545,=32.5142,=26.9373
2019-06-19,=1178.8500,=1258.0900,=2726489093520.9004,=2157193881723,=1132845025400.8025,=20.6857,=0.0814,=36.2545,=32.5176,=26.9462
2019-06-18,=1159.7200,=1237.4900,=2697069988409.6997,=2134742493559,=1118561319301.7241,=20.3912,=0.0772,=36.2562,=32.5210,=26.9462
2019-06-17,=1159.5500,=1236.8500,=2696634821854.5000,=2132736014752,=1117645510143.2202,=20.3964,=0.0773,=36.2562,=32.5252,=26.9602
2019-06-14,=1163.3000,=1240.8500,=2250193880978.6992,=1778682926589,=912280839316.1914,=20.7484,=0.0810,=36.2562,=32.5294,=26.9668
2019-06-13,=1190.5000,=1269.5700,=2282562629508.8999,=1804725221056,=928119920137.4456,=21.1413,=0.0958,=36.2562,=32.5316,=26.9889
2019-06-12,=1183.0300,=1261.0900,=2280202362044.3003,=1804875742161,=927671182123.7878,=21.1161,=0.0940,=36.2562,=32.5339,=26.9955
2019-06-11,=1190.1700,=1268.7100,=2294851413838.1987,=1816772705259,=934728402087.8136,=21.2361,=0.0990,=36.2567,=32.5358,=26.9955
2019-06-10,=1152.0100,=1228.0300,=2240193749026.5000,=1707449918088,=909878772292.2094,=20.5738,=0.0787,=36.2567,=32.5377,=27.0262
2019-06-06,=1139.7200,=1214.8400,=2207944601916.2998,=1681302493819,=896687626443.1038,=20.3662,=0.0769,=36.2567,=32.5379,=27.0285
2019-06-05,=1165.9100,=1241.7300,=2241561945555.9990,=1705764596616,=911631160542.9904,=20.7828,=0.0813,=36.2567,=32.5380,=27.0336
2019-06-04,=1164.2000,=1239.7200,=2236332102258.4004,=1706022454251,=911221895366.6100,=20.7526,=0.0801,=36.2567,=32.5393,=27.0361
2019-06-03,=1183.6800,=1260.4700,=2264001054713.5000,=1725848066972,=922255641508.5568,=21.0915,=0.0912,=36.2656,=32.5407,=27.0361
2019-05-31,=1199.1000,=1276.9000,=2284530493248.3003,=1741987860057,=932435344862.5012,=21.2895,=0.0969,=36.2656,=32.5410,=27.0751
2019-05-30,=1188.4700,=1265.4800,=2273514136371.6997,=1729337521801,=927113845810.8872,=21.0708,=0.0907,=36.2656,=32.5414,=27.0873
2019-05-29,=1200.3800,=1278.0600,=2279583362391.2998,=1729179985173,=930083141089.4240,=21.2202,=0.0951,=36.2656,=32.5421,=27.0902
2019-05-28,=1196.3200,=1273.7500,=2281848273363.5000,=1728002369425,=930434463538.7162,=21.1733,=0.0933,=36.2656,=32.5427,=27.1381
2019-05-27,=1199.9400,=1277.6000,=2265671252600.8008,=1719714670709,=926813661316.7816,=21.1857,=0.0934,=36.2764,=32.5492,=27.1381
2019-05-24,=1168.7900,=1244.1800,=2223510842124.6001,=1687648612243,=908325826336.3840,=20.6396,=0.0786,=36.2764,=32.5557,=27.2086
2019-05-23,=1171.8000,=1247.3800,=2223962718281.0996,=1689939480001,=909326140838.2932,=20.6748,=0.0786,=36.2764,=32.5599,=27.2252
2019-05-22,=1195.4500,=1271.6300,=2256039856844.8003,=1709798694196,=921848118964.7048,=21.0390,=0.0880,=36.2764,=32.5640,=27.2401
2019-05-21,=1205.7800,=1282.6100,=2263671026208,=1712177755784,=924475522945.3180,=21.1982,=0.0918,=36.2764,=32.5707,=27.2581
2019-05-20,=1182.4600,=1257.8000,=2226483115058.9995,=1682558912358,=908742624794.0251,=20.7854,=0.0800,=36.2842,=32.5774,=27.2581
2019-05-17,=1191.6800,=1267.6200,=2251962629541.2988,=1696536518345,=918145831139.8700,=20.9749,=0.0863,=36.2842,=32.5776,=27.2987
2019-05-16,=1236.5400,=1314.7700,=2317873715325.7998,=1744226506006,=946198707303.4810,=21.7308,=0.1056,=36.2842,=32.5779,=27.3461
2019-05-15,=1226.5500,=1304.1500,=2302973754236.8999,=1731945065068,=939866274636.0492,=21.6021,=0.1013,=36.2842,=32.5819,=27.3816
2019-05-14,=1196,=1271.2500,=2256278302352.7998,=1700102097157,=920767756241.9264,=21.1538,=0.0902,=36.2842,=32.5860,=27.4311
2019-05-13,=1205.4200,=1281.2600,=2271600266337.5000,=1712430811754,=927045315432.0244,=21.3287,=0.0909,=36.2932,=32.5875,=27.4311
2019-05-10,=1221.9100,=1298.4300,=2304715196348.7002,=1733833947715,=940075936400.3944,=21.5947,=0.0996,=36.2932,=32.5889,=27.4335
2019-05-09,=1185.9100,=1260.1700,=2245710005030.4995,=1686088224734,=914901535206.7256,=20.9862,=0.0866,=36.2932,=32.5953,=27.4383
2019-05-08,=1190.2800,=1264.8200,=2265528595679.2998,=1697535900795,=920518491530.4746,=21.1182,=0.0879,=36.2932,=32.6016,=27.4833
2019-05-07,=1197.1100,=1271.9700,=2296393169780.6992,=1720777320989,=932779622409.6638,=21.2565,=0.0892,=36.2932,=32.6022,=27.4862
2019-05-06,=1190.6800,=1265.1400,=2284140381113.9009,=1712378028412,=928562541955.6008,=21.0583,=0.0868,=36.2935,=32.6029,=27.4862
2019-04-30,=1282.0100,=1362.1100,=2417635125780.4004,=1806626711768,=984005048010.4102,=22.5597,=0.1168,=36.2935,=32.6104,=27.5033
2019-04-29,=1276.3700,=1356.1200,=2406895770609.6997,=1799413880265,=943256893346.1902,=23.1468,=0.1213,=36.2935,=32.6179,=27.5044
2019-04-26,=1321.5700,=1404.0200,=2445911849944.0996,=1829855289213,=945570634134.9982,=23.8615,=0.1301,=36.2935,=32.6183,=27.5169
2019-04-25,=1337.9600,=1421.1400,=2478267097080.3999,=1856306353240,=958794137510.8024,=23.1465,=0.1208,=36.2935,=32.6188,=27.5242
2019-04-24,=1396.9900,=1483.8500,=2555232239548.3989,=1913382064188,=990051571796.4712,=23.9938,=0.1315,=36.3176,=32.6194,=27.5242
2019-04-23,=1375.8100,=1461.3500,=2519003668587.5005,=1887320721250,=976954154715.6136,=23.6456,=0.1266,=36.3176,=32.6201,=27.5318
2019-04-22,=1408.7400,=1496.3200,=2565865076299.9014,=1805908477460,=995655675824.7620,=23.9830,=0.1304,=36.3176,=32.6208,=27.5823
2019-04-19,=1422.9000,=1511.3700,=2600243373444.8003,=1820278909107,=1006487078986.8712,=23.9655,=0.1299,=36.3176,=32.6215,=27.5971
2019-04-18,=1407.0300,=1494.5100,=2589378225047.3989,=1809989890417,=997637265615.9188,=24.1882,=0.1325,=36.3176,=32.6236,=27.6014
