日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2021-11-10,=3170.4000,=4711.7800,=18763702264191.4531,=15569237922184,=7390600937522.6016,=11.7776,=0.4988,=13.6312,=11.7835,=10.6857
2021-11-09,=3186.9600,=4736.3800,=18873563937968.5000,=15662165176777,=7429432653345.3223,=11.8019,=0.5016,=13.6312,=11.7929,=10.6857
2021-11-08,=3196.2700,=4750.2200,=18947541080319.1953,=15720349275963,=7447818276367.5518,=11.8355,=0.5045,=13.6312,=11.7929,=10.6857
2021-11-05,=3201.5500,=4758.0600,=18953852313370.7930,=15739964136068,=7461321778725.7939,=11.8197,=0.5033,=13.6312,=11.7929,=10.6857
2021-11-04,=3207.2600,=4766.5600,=19013397223506.1211,=15780745626264,=7475534172906.0586,=11.8676,=0.5086,=13.6312,=11.7929,=10.6857
2021-11-03,=3181.4500,=4728.2000,=18917808855324.3281,=15680610490904,=7423669527828.9014,=11.8806,=0.5111,=13.6312,=11.7929,=10.6857
2021-11-02,=3212.0300,=4773.6400,=19043816633186.4414,=15799099859842,=7492731820565.2002,=11.8403,=0.5041,=13.6312,=11.7929,=10.6857
2021-11-01,=3250.9100,=4831.4300,=19284580078125.6016,=15985386601938,=7586872150446.6797,=12.0467,=0.5366,=13.6312,=11.7929,=10.6857
2021-10-29,=3267.2500,=4855.7100,=19366701723061.3281,=16081614597019,=7612732495805.4102,=12.0109,=0.5296,=13.6312,=11.7929,=10.6857
2021-10-28,=3239.6100,=4814.6300,=19329069128516.6914,=16028450123928,=7684965723176.0977,=11.8497,=0.5066,=13.6312,=11.7929,=10.6857
2021-10-27,=3247.1000,=4825.7600,=19472530252489.2031,=16143819190103,=7694812741552.6738,=11.9431,=0.5193,=13.6312,=11.7929,=10.6857
2021-10-26,=3290.0400,=4889.5800,=19723074631885.2266,=16339531993629,=7799417376985.9297,=12.1097,=0.5486,=13.6312,=11.7929,=10.6857
2021-10-25,=3312.3000,=4922.6700,=19867878666965.6563,=16456368767523,=7848434432005.6064,=12.2304,=0.5712,=13.6312,=11.7929,=10.6857
2021-10-22,=3318.1300,=4925.3100,=19860868931330.0391,=16449550820554,=7861032203555.6377,=12.2711,=0.5811,=13.6312,=11.7929,=10.6857
2021-10-21,=3278.5400,=4866.5500,=19748673479931.7617,=16333927341183,=7772362052293.3115,=12.2633,=0.5794,=13.6312,=11.7929,=10.6857
2021-10-20,=3255,=4831.6100,=19565419555550.3281,=16206133723226,=7714764806294.4033,=12.1092,=0.5490,=13.6312,=11.7929,=10.6857
2021-10-19,=3256.6700,=4834.0800,=19635524374856.0820,=16247146956454,=7724845157743.2773,=12.1934,=0.5650,=13.6312,=11.7929,=10.6857
2021-10-18,=3229.6300,=4793.9500,=19489904024097.5000,=16140799001997,=7652674540003.7744,=12.1781,=0.5621,=13.6312,=11.7929,=10.6857
2021-10-15,=3294.8300,=4890.7400,=19776827854805.3164,=16407968415807,=7816369783891.9326,=12.2314,=0.5728,=13.6312,=11.7929,=10.6857
2021-10-14,=3270.6900,=4854.9000,=19602049658191.0781,=16251058435169,=7752854771664.5654,=12.1591,=0.5584,=13.6312,=11.7929,=10.6857
2021-10-13,=3292.7600,=4887.6600,=19715392558833.1484,=16353814842919,=7802648230896.0156,=12.2236,=0.5691,=13.6312,=11.7929,=10.6857
2021-10-12,=3259.3800,=4838.1100,=19674758465167.6094,=16287656251740,=7722928081260.7227,=12.3081,=0.5856,=13.6312,=11.7929,=10.6857
2021-10-11,=3276.4100,=4863.3800,=19792791797562.0938,=16360641946399,=7760985872929.8291,=12.4200,=0.6053,=13.6312,=11.7929,=10.6857
2021-10-08,=3256.2600,=4833.4800,=19675549916800.8945,=16266055702887,=7714882531081.5576,=12.3210,=0.5893,=13.6312,=11.7929,=10.6857
2021-09-30,=3196.9900,=4745.5000,=19313249364999.5117,=15981856566781,=7578653424849.8564,=12.0993,=0.5481,=13.6312,=11.7929,=10.6857
2021-09-29,=3199.2300,=4748.8200,=19366007342437.6406,=16004526530367,=7588675545995.1855,=12.1556,=0.5593,=13.6312,=11.7929,=10.6857
2021-09-28,=3211.1500,=4766.5200,=19508085263934.7500,=16127855349682,=7612554171504.4775,=12.2693,=0.5802,=13.6312,=11.7929,=10.6857
2021-09-27,=3199.9700,=4749.9300,=19353818541991.5195,=16024538644356,=7581598566723.3379,=12.0984,=0.5486,=13.6312,=11.7929,=10.6857
2021-09-24,=3145.1100,=4668.4900,=19055826455122.3008,=15715529188437,=7460206109565.3281,=12.1326,=0.5551,=13.6312,=11.7929,=10.6857
2021-09-23,=3127.8200,=4642.8300,=19036716464355.8906,=15658043998594,=7419295698245.7139,=12.2890,=0.5831,=13.6312,=11.7929,=10.6857
2021-09-22,=3122.3400,=4634.6900,=19016314153362.7734,=15643121193592,=7410099919377.5635,=12.2244,=0.5712,=13.6312,=11.7929,=10.6857
